id,code,section,weight,critical,standard,evidence
101,07.11,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Онлайн-отзывы и сообщения гостей регулярно просматриваются ответственным.,Есть ритм и SLA ответа по каналу.
102,07.12,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Ответ на негатив признаёт конкретную проблему и не превращается в защитную отписку.,Выборочно разобрать 10 последних ответов.
103,07.13,07. Жалобы и восстановление сервиса,0.5333,НЕТ,Повторяющаяся жалоба автоматически превращается в корректирующее действие.,Порог повторяемости + owner + deadline.
104,07.14,07. Жалобы и восстановление сервиса,0.5333,НЕТ,"Компенсации и возвраты анализируются как сигнал системы, а не только как расход.",Тренд по причинам/менеджерам/сменам.
105,07.15,07. Жалобы и восстановление сервиса,0.5333,ДА,Повтор одного и того же сбоя после корректирующей меры требует изменения процесса/обучения.,Есть правило second recurrence → root cause review.
106,08.01,08. Операционная дисциплина смены,0.6667,ДА,Opening checklist существует и реально выполняется до открытия.,Проверить фактическое выполнение 2 дней подряд.
107,08.02,08. Операционная дисциплина смены,0.6667,ДА,"Closing checklist существует и закрывает зал, кассу, оборудование, безопасность и передачу.",Проверить 2 закрытия.
108,08.03,08. Операционная дисциплина смены,0.6667,НЕТ,Туалеты/гостевые зоны проверяются по заданному ритму.,Журнал/цифровой check + фактическое состояние.
109,08.04,08. Операционная дисциплина смены,0.6667,НЕТ,У каждой зоны чистоты есть конкретный владелец в смене.,Не 'все следят'; проверить 5 зон.
110,08.05,08. Операционная дисциплина смены,0.6667,НЕТ,"Музыка, свет, температура и громкость имеют ориентиры по daypart/концепции.",Сверить 2 разные смены; нет случайных настроек.
111,08.06,08. Операционная дисциплина смены,0.6667,НЕТ,Внешний вид и grooming стандарт понятен и проверяется одинаково.,Фотоэталон/описание + наблюдение.
112,08.07,08. Операционная дисциплина смены,0.6667,НЕТ,Критичное оборудование проверяется до сервиса; неисправности имеют owner и ETA.,Opening check + maintenance log.
113,08.08,08. Операционная дисциплина смены,0.6667,НЕТ,"POS, терминалы и принтеры готовы до первых гостей.",Проверка открытия; запасной сценарий известен.
114,08.09,08. Операционная дисциплина смены,0.6667,НЕТ,Кассовая/финансовая подготовка смены выполняется по чек-листу.,Ответственный + подтверждение до открытия.
115,08.10,08. Операционная дисциплина смены,0.6667,НЕТ,План посадки и брони сверены до начала гостевого потока.,Host/manager briefing.
116,08.11,08. Операционная дисциплина смены,0.6667,НЕТ,"Стоп-лист, изменения и потенциальные задержки озвучены всей смене.",Pre-shift + выборочный опрос.
117,08.12,08. Операционная дисциплина смены,0.6667,НЕТ,"Перерывы сотрудников планируются так, чтобы не разрушать сервис.",План/факт в пиковые дни.
118,08.13,08. Операционная дисциплина смены,0.6667,НЕТ,Side work и подготовительные задачи распределены по людям и времени.,"Есть список, owner и контроль завершения."
119,08.14,08. Операционная дисциплина смены,0.6667,ДА,"Команда знает, кого звать и что делать при аварийной/критической ситуации.",Сценарный вопрос 5 сотрудникам.
120,08.15,08. Операционная дисциплина смены,0.6667,ДА,"Менеджер подтверждает выполнение чек-листов выборочной проверкой, а не подписью вслепую.",2–3 spot checks на смену/по выбранной модели.
121,09.01,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,"У кухни, бара, хостес и зала один актуальный источник стоп-листа/изменений.",Сверить информацию одновременно у 4 ролей.
122,09.02,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Время отдачи ключевых категорий измеряется и видно менеджеру.,Есть фактические данные или ручной замер пикового периода.
123,09.03,09. Кухня / бар / зал и стабильность продукта,0.5333,ДА,"Есть порог задержки, после которого запускается проактивная коммуникация гостю.",Сотрудники знают порог и сценарий.
124,09.04,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,На pass/выдаче есть понятный владелец качества и порядка отдачи.,Наблюдение пика; нет 'ничья зона'.
125,09.05,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Для ключевых блюд есть визуальный/описательный эталон подачи.,Фото/карта блюда; сравнить 3 фактические подачи.
126,09.06,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Модификаторы из зала доходят до кухни/бара без устных потерь.,Проверить 5 модифицированных заказов.
127,09.07,09. Кухня / бар / зал и стабильность продукта,0.5333,ДА,Заказы с аллергенами/риском проходят отдельный подтверждаемый протокол.,Сценарный тест от официанта до производства.
128,09.08,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Время ожидания напитков/бара отслеживается отдельно от кухни.,Замер пика + trigger эскалации.
129,09.09,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Firing/очерёдность курсов координируется между залом и кухней.,Наблюдение 3 столов с 2+ курсами.
130,09.10,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Возвращённые блюда/напитки фиксируются.,Журнал/система за 30 дней.
131,09.11,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,"Для возвратов используется причина, позволяющая отличить продукт, ошибку заказа и ожидания гостя.",Категории причины + примеры.
132,09.12,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Изменения рецепта/подачи/наличия сообщаются залу до сервиса.,Проверить последнюю смену меню.
133,09.13,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,Перед продажей новых ключевых блюд команда их пробует и обсуждает.,Факт дегустации + основные selling points.
134,09.14,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,"Передача блюда/напитка содержит достаточно информации, чтобы исключить путаницу.",Стол/позиция/модификатор/аллерген подтверждаются по стандарту.
135,09.15,09. Кухня / бар / зал и стабильность продукта,0.5333,НЕТ,"Кухня/бар/зал регулярно разбирают системные сбои вместе, а не обвиняют друг друга.",Есть короткий cross-functional review и action items.
136,10.01,"10. Метрики, экономика и удержание результата",0.5333,ДА,До вмешательства зафиксирован Day 0 baseline по выбранным показателям.,"Дата, источник данных, минимум один человеческий и один операционный показатель."
137,10.02,"10. Метрики, экономика и удержание результата",0.5333,ДА,С собственником согласованы 3–5 критериев 'деньги потрачены не зря'.,"У каждого критерия есть baseline, цель и горизонт."
138,10.03,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Текучесть персонала считается по единой формуле и в динамике.,"Минимум 3–6 месяцев истории, если данные доступны."
139,10.04,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Опоздания/неявки/аварийные замены видны как тренд.,Месячная динамика + разрез по ролям/сменам при необходимости.
140,10.05,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Жалобы гостей считаются по количеству и причинам.,"Не только рейтинг, но и структура проблемы."
141,10.06,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,"Рейтинг/отзывы отслеживаются в динамике, а не как единичная цифра.",Среднее + объём + темы негатива/позитива.
142,10.07,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Повторные гости/лояльность измеряются доступным ресторану способом.,CRM/брони/программа лояльности/прокси; метод одинаков во времени.
143,10.08,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Средний чек и/или выручка на гостя анализируются вместе с гостевым опытом.,Нельзя считать рост чека успехом при деградации отзывов/жалоб.
144,10.09,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,"Есть показатель производительности труда, понятный собственнику.",Напр. выручка на час/смену/сотрудника — выбрать один корректный прокси.
145,10.10,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,"Компенсации, void/refund и списания по сервисным ошибкам видны в динамике.",Причины + сумма + повторяемость.
146,10.11,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,"Прохождение обучения/аттестаций измеряется, а не считается 'проведённым'.",Completion + pass rate + пересдачи.
147,10.12,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Master Audit повторяется тем же способом для сравнимости результата.,Day 0 / Day 30 / Day 60 или выбранные контрольные точки.
148,10.13,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,У собственника есть короткий monthly scorecard на 1 странице.,"Не более 8–12 метрик, тренд и отклонения."
149,10.14,"10. Метрики, экономика и удержание результата",0.5333,НЕТ,Корректирующие действия закрываются с подтверждением результата.,Owner + deadline + evidence + повторная проверка.
150,10.15,"10. Метрики, экономика и удержание результата",0.5333,ДА,"В конце консалтинга зафиксирована новая 'здоровая база', а для Pulse определены пороги отклонения.","Day 60 baseline + 3–7 сигналов, при которых Академия возвращается в работу."
